DATE,MRTSSM7225USN
7/1/2018,56499
8/1/2018,56753
9/1/2018,51602
10/1/2018,53005
11/1/2018,51090
12/1/2018,55280
1/1/2019,49944
2/1/2019,49616
3/1/2019,57805
4/1/2019,55125
5/1/2019,59125
6/1/2019,58206
7/1/2019,58602
8/1/2019,59353
9/1/2019,54150
10/1/2019,56083
11/1/2019,54348
12/1/2019,57533
1/1/2020,53688
2/1/2020,54511
